assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,direct_freekicks_order,direct_freekicks_text,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,ict_index_rank,ict_index_rank_type,id,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_order,penalties_saved,penalties_text,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
0,3,141,100,100,2,184029,2,,0,0,-3,3,255.2,151,100,None,,1,3,0.0,3.8,3,Martin,1.4,12,1,51.7,271,126,645,False,117.6,347,147,751,,2021-04-09T00:30:22.440274Z,57,0,0,None,0,,184029.jpg,2.5,0,0,Ødegaard,0.7,False,None,a,1,3,145.0,217,109,30,261607,599,213610,8059,0.2,5.3,Ødegaard,0
0,0,0,None,None,0,439482,None,,0,0,0,0,0.0,625,252,None,,0,3,0.0,1.0,0,Miguel,0.0,0,0,0.0,641,253,689,False,0.0,636,252,0,,None,45,0,0,None,0,,439482.jpg,0.0,0,0,Azeez,0.0,False,None,a,1,3,0.0,612,246,0,301,56,137,25,0.0,0.0,Azeez,0
0,27,773,None,None,15,98980,None,,0,0,9,-9,20.0,382,1,None,,2,1,3.4,6.3,12,Emiliano,3.4,41,0,98.4,127,3,12,True,966.6,7,3,3150,,None,54,0,0,None,1,,98980.jpg,5.1,0,128,Martínez,39.5,False,None,a,2,7,0.0,693,77,178,4003751,15704,1604462,22381,0.6,33.0,Martínez,0
0,0,0,100,100,0,21205,None,,0,0,0,0,0.0,598,59,None,,0,1,0.0,-0.5,0,Tom,0.0,0,0,0.0,618,76,28,False,0.0,610,76,0,,2020-08-15T10:00:11.430596Z,45,0,0,None,0,,21205.jpg,0.0,0,0,Heaton,0.1,False,None,a,2,7,0.0,584,55,0,6298,55,7449,64,0.0,0.0,Heaton,0
0,4,170,None,None,3,37339,None,,0,0,-3,3,181.8,196,47,None,,1,2,0.4,0.3,1,Ahmed,0.4,6,0,38.5,319,110,29,False,147.6,327,126,743,,None,42,0,0,None,0,,37339.jpg,2.5,0,0,El Mohamady,0.3,False,None,a,2,7,54.0,334,116,32,51630,313,64997,485,0.1,7.6,El Mohamady,2
0,0,0,0,0,0,40564,None,,0,0,-2,2,0.0,548,213,None,,0,3,0.0,0.0,0,Henri,0.0,0,0,0.0,573,215,30,False,0.0,563,212,0,Not included in Aston Villa's 25-man Premier League squad,2020-10-20T22:30:18.217167Z,43,0,0,None,0,,40564.jpg,0.0,0,0,Lansbury,0.1,False,None,u,2,7,0.0,531,205,0,6231,0,20021,12,0.0,0.0,Lansbury,0
0,0,1,None,None,0,47390,None,,0,0,-3,3,0.7,459,177,None,,0,2,0.0,-0.5,0,Neil,0.0,2,0,0.2,495,182,31,False,0.8,491,182,15,,None,42,0,0,None,0,,47390.jpg,-1.0,0,0,Taylor,0.2,False,None,a,2,7,0.0,523,212,-1,18884,104,33831,142,0.0,-0.2,Taylor,1
0,0,0,None,None,0,79852,None,,0,0,-1,1,0.0,483,15,None,,0,1,0.0,-0.5,0,Jed,0.0,0,0,0.0,514,42,32,False,0.0,505,43,0,,None,39,0,0,None,0,,79852.jpg,0.0,0,0,Steer,4.4,False,None,a,2,7,0.0,458,11,0,402046,4436,434297,2863,0.0,0.0,Steer,0
1,3,70,0,0,2,85242,None,,0,0,-1,1,82.9,283,161,None,,1,3,0.0,0.0,0,Conor,0.0,2,1,18.2,381,171,33,False,65.4,394,169,225,Joined Swansea City on loan until the end of the season on 20/1,2021-01-20T23:00:22.557566Z,59,0,0,None,0,,85242.jpg,5.0,0,0,Hourihane,0.1,False,None,u,2,7,33.0,366,176,20,23841,0,27566,17,0.0,3.4,Hourihane,0
0,0,0,0,0,0,89274,None,,0,0,-1,1,0.0,700,287,None,,0,3,0.0,0.0,0,José Ignacio,0.0,0,0,0.0,701,287,34,False,0.0,699,287,0,Contract ended,2020-10-05T07:17:10.828418Z,59,0,0,None,0,,89274.jpg,0.0,0,0,Peleteiro Romallo,0.0,False,None,u,2,7,0.0,699,287,0,1439,0,7775,5,0.0,0.0,Jota,0
