first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost
Sander,Berge,1,1,21,644,12,113.6,130.6,102.0,1,106,34.6,0,0,3,0.2,50
Oliver,Burke,0,0,7,254,2,36.6,5.8,71.0,0,9,10.8,1,0,0,0.8,44
Luke,Freeman,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,50
Aaron,Ramsdale,0,0,20,720,14,10.0,214.4,2.0,0,134,22.7,0,0,0,3.0,48
Ethan,Ampadu,0,0,6,303,5,20.0,71.2,4.0,0,44,9.6,0,0,0,0.5,44
Jayden,Bogle,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,43
Max,Lowe,0,0,3,188,5,3.3,26.6,9.0,0,10,3.9,0,0,0,0.1,44
Phil,Jagielka,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.6,40
Michael,Verrips,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.3,40
Theo,Walcott,0,3,17,279,7,72.1,51.6,55.0,0,48,17.9,1,0,0,0.3,58
Shane,Long,0,0,6,32,3,0.9,2.2,6.0,0,12,0.8,0,0,0,0.6,52
Ryan,Bertrand,0,0,24,618,10,117.3,75.2,39.0,2,106,23.1,3,0,1,1.0,50
Alex,McCarthy,0,0,33,720,12,0.0,178.0,0.0,2,160,17.9,4,0,0,20.0,45
Oriol,Romeu Vidal,1,0,24,680,9,90.7,172.8,57.0,3,104,32.0,4,0,3,4.5,45
Nathan,Redmond,0,0,9,307,4,43.2,24.6,51.0,0,24,11.8,1,0,0,0.2,64
Danny,Ings,5,2,47,624,10,84.7,251.8,234.0,7,187,57.0,3,0,0,7.3,83
Jack,Stephens,0,0,8,315,9,26.8,53.4,21.0,1,62,10.2,1,0,1,0.2,48
Stuart,Armstrong,1,2,29,512,6,100.1,117.6,73.0,2,88,29.1,4,0,0,0.5,55
Jannik,Vestergaard,2,0,40,585,6,26.1,219.0,63.0,1,176,30.9,4,0,0,9.2,47
James,Ward-Prowse,3,1,43,720,12,204.7,219.8,71.0,6,181,49.6,4,0,1,7.0,60
Angus,Gunn,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,44
Sofiane,Boufal,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,54
Josh,Sims,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,44
Kyle,Walker-Peters,0,1,31,720,12,55.1,150.0,54.0,3,157,26.0,4,0,3,11.8,46
Jan,Bednarek,0,0,29,630,9,14.6,115.6,58.0,2,147,18.8,4,0,0,1.9,45
Che,Adams,3,3,41,675,11,100.9,185.0,264.0,5,134,55.1,4,0,1,4.6,59
Yan,Valery,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,48
William,Smallbone,0,0,3,111,4,4.1,7.2,0.0,0,8,1.1,0,0,0,0.3,45
Jake,Vokins,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,1.1,40
Michael,Obafemi,0,0,1,13,0,0.1,0.4,0.0,0,2,0.1,0,0,0,1.1,47
Moussa,Djenepo,1,1,17,306,5,19.2,53.8,72.0,0,49,14.3,2,0,1,0.1,54
Mohammed,Salisu,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,43
Fraser,Forster,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,3.6,40
Nathan,Tella,0,0,3,48,2,1.8,3.0,3.0,0,9,0.7,0,0,0,0.5,44
Ibrahima,Diallo,0,0,2,18,2,11.8,3.4,4.0,0,-1,2.0,0,0,1,0.0,45
Daniel,N'Lundulu,0,0,1,1,0,0.0,0.0,0.0,0,3,0.0,0,0,0,0.1,45
Kayne,Ramsay,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40
Hugo,Lloris,0,0,27,720,9,0.0,124.8,0.0,2,126,12.6,2,0,0,5.4,55
