name,total_points,pos,minutes,now_cost,was_home,ict_index,xG,xA,clean_sheets,strength,saves,opponent_team,strength_attack_home,strength_attack_away,strength_defence_home,strength_defence_away
JohnLundstram,2,3,90,49,True,1.1,0.07815724487106006,0.060829268457988896,0,2,0,11,1150,1170,1210,1250
JohnLundstram,3,3,90,49,True,1.2,0.07815724487106006,0.060829268457988896,1,2,0,2,1150,1150,1180,1210
JohnMcGinn,3,3,90,55,False,1.0,0.05698711263875549,0.09320973672975714,1,3,0,10,1060,1110,1130,1160
JohnMcGinn,2,3,90,55,False,7.6,0.05698711263875549,0.09320973672975714,0,3,0,15,1110,1130,1010,1050
JohnRuddy,0,1,0,43,False,0.0,0.0,0.0,0,3,0,14,1240,1320,1330,1350
JohnRuddy,0,1,0,43,False,0.0,0.0,0.0,0,3,0,12,1260,1320,1330,1350
JohnStones,10,2,90,53,True,7.6,0.12579141805569333,0.000571591831329796,0,5,0,19,1150,1160,1170,1180
JohnStones,0,2,0,53,True,0.0,0.12579141805569333,0.000571591831329796,0,5,0,20,1140,1200,1110,1160
JonasLössl,0,1,0,43,True,0.0,0.0,0.0,0,3,0,16,1140,1200,1110,1160
JonasLössl,0,1,0,43,False,0.0,0.0,0.0,0,3,0,18,1110,1130,1010,1050
JonathanCastroOtto,2,2,90,54,False,2.4,0.0,0.0,0,3,0,14,1240,1320,1330,1350
JonathanCastroOtto,1,2,54,54,False,0.6,0.0,0.0,0,3,0,12,1260,1320,1330,1350
JonathanLeko,0,3,0,45,True,0.0,0.0,0.0,0,2,0,3,1170,1210,1190,1200
JonathanLeko,0,3,0,45,True,0.0,0.0,0.0,0,2,0,7,1150,1150,1180,1210
JonjoeKenny,0,2,0,43,True,0.0,0.0,0.0,0,3,0,16,1140,1200,1110,1160
JonjoeKenny,0,2,0,43,False,0.0,0.0,0.0,0,3,0,18,1110,1130,1010,1050
JonjoShelvey,2,3,90,53,True,6.9,0.07903931476175785,0.07563258316367866,0,4,0,20,1140,1200,1110,1160
JonnyEvans,1,2,68,55,True,0.4,0.043188298364048416,0.008585806045195331,0,4,0,1,1170,1210,1190,1200
JonnyEvans,0,2,0,55,False,0.0,0.043188298364048416,0.008585806045195331,0,4,0,4,1170,1210,1190,1200
JordanAyew,2,4,90,56,True,1.7,0.07367777429521084,0.02741781134158373,1,3,0,8,1240,1280,1270,1310
JordanAyew,2,4,90,56,True,3.5,0.07367777429521084,0.02741781134158373,1,3,0,13,1190,1190,1200,1180
JordanHenderson,0,3,0,54,False,0.0,0.05408559872635773,0.0706527889484451,0,4,0,15,1110,1130,1010,1050
JordanHenderson,0,3,0,54,True,0.0,0.05408559872635773,0.0706527889484451,0,4,0,5,1240,1280,1270,1310
JordanHugill,0,4,0,55,False,0.0,0.0,0.0,0,4,0,12,1260,1320,1330,1350
JordanPickford,6,1,90,48,True,1.4,0.0,0.0009466791930405989,1,3,1,16,1140,1200,1110,1160
JordanPickford,0,1,0,48,False,0.0,0.0,0.0009466791930405989,0,3,0,18,1110,1130,1010,1050
JordanStevens,0,3,0,43,True,0.0,0.0,0.0,0,3,0,2,1150,1150,1180,1210
JorgeLuizFrelloFilho,0,3,0,47,True,0.0,0.0,0.0,0,4,0,13,1190,1190,1200,1180
JorgeLuizFrelloFilho,0,3,0,47,False,0.0,0.0,0.0,0,4,0,11,1150,1170,1210,1250
JosephGomez,0,2,0,52,False,0.0,0.0,0.009347038609640939,0,4,0,15,1110,1130,1010,1050
JosephGomez,0,2,0,52,True,0.0,0.0,0.009347038609640939,0,4,0,5,1240,1280,1270,1310
JosephWillock,2,3,90,47,True,6.4,0.0,0.0,0,4,0,20,1140,1200,1110,1160
JoshuaKing,1,4,1,53,True,0.1,0.0,0.0,0,3,0,16,1140,1200,1110,1160
JoshuaKing,0,4,0,53,False,0.0,0.0,0.0,0,3,0,18,1110,1130,1010,1050
JoshBenson,0,3,0,45,False,0.0,0.03406901905934016,0.0,0,4,0,17,1190,1240,1280,1320
JoshBenson,0,3,0,45,True,0.0,0.03406901905934016,0.0,0,4,0,9,1190,1190,1200,1180
JoshBrownhill,2,3,90,49,False,1.2,0.04428987197267512,0.024412905797362328,0,4,0,17,1190,1240,1280,1320
JoshBrownhill,2,3,90,49,True,1.0,0.04428987197267512,0.024412905797362328,0,4,0,9,1190,1190,1200,1180
JoshMaja,2,4,90,55,False,3.5,0.4853897552405085,0.06788934022188185,1,4,0,6,1100,1150,1020,1050
JoshMaja,0,4,0,55,True,0.0,0.4853897552405085,0.06788934022188185,0,4,0,17,1190,1240,1280,1320
JoshOnomah,0,3,0,46,False,0.0,0.05686552325884502,0.0,0,4,0,6,1100,1150,1020,1050
JoshOnomah,0,3,0,46,True,0.0,0.05686552325884502,0.0,0,4,0,17,1190,1240,1280,1320
JoshSims,0,3,0,43,False,0.0,0.0,0.0,0,3,0,7,1150,1150,1180,1210
JoséDiogoDalotTeixeira,0,2,0,48,False,0.0,0.0,0.0,0,4,0,5,1240,1280,1270,1310
JoséDiogoDalotTeixeira,0,2,0,48,False,0.0,0.0,0.0,0,4,0,6,1100,1150,1020,1050
JoséIgnacioPeleteiroRomallo,0,3,0,59,False,0.0,0.0,0.0,0,3,0,10,1060,1110,1130,1160
JoséIgnacioPeleteiroRomallo,0,3,0,59,False,0.0,0.0,0.0,0,3,0,15,1110,1130,1010,1050
JoséIzquierdo,0,3,0,55,False,0.0,0.0,0.0,0,4,0,18,1110,1130,1010,1050
JoãoFilipeIriaSantosMoutinho,2,3,90,52,False,2.1,0.0,0.0,0,3,0,14,1240,1320,1330,1350
JoãoFilipeIriaSantosMoutinho,6,3,90,52,False,5.1,0.0,0.0,0,3,0,12,1260,1320,1330,1350
JoãoPedroCavacoCancelo,0,2,0,61,True,0.0,0.0,0.0,0,5,0,19,1150,1160,1170,1180
JoãoPedroCavacoCancelo,2,2,90,61,True,8.7,0.0,0.0,0,5,0,20,1140,1200,1110,1160
JoãoVirgínia,0,1,0,43,True,0.0,0.0,0.0,0,3,0,16,1140,1200,1110,1160
JoãoVirgínia,0,1,0,43,False,0.0,0.0,0.0,0,3,0,18,1110,1130,1010,1050
JoëlVeltman,2,2,90,44,False,5.0,0.0,0.0,0,4,0,18,1110,1130,1010,1050
JuanFoyth,0,2,0,43,True,0.0,0.0,0.0,0,4,0,4,1170,1210,1190,1200
JuanFoyth,0,2,0,43,False,0.0,0.0,0.0,0,4,0,8,1240,1280,1270,1310
JuanMata,0,3,0,58,False,0.0,0.04450486760054316,0.1032279038003513,0,4,0,5,1240,1280,1270,1310
JuanMata,0,3,0,58,False,0.0,0.04450486760054316,0.1032279038003513,0,4,0,6,1100,1150,1020,1050
KaineHayden,0,3,0,45,False,0.0,0.0,0.0,0,3,0,10,1060,1110,1130,1160
KaineHayden,0,3,0,45,False,0.0,0.0,0.0,0,3,0,15,1110,1130,1010,1050
KaiHavertz,0,3,0,82,True,0.0,0.11451585156222184,0.06323359480925969,0,4,0,13,1190,1190,1200,1180
KaiHavertz,0,3,0,82,False,0.0,0.11451585156222184,0.06323359480925969,0,4,0,11,1150,1170,1210,1250
KalvinPhillips,0,3,0,49,True,0.0,0.01187235522083938,0.12275306098163127,0,3,0,2,1150,1150,1180,1210
KamilGrosicki,0,3,0,52,True,0.0,0.03641635924577714,0.18878528475761414,0,2,0,3,1170,1210,1190,1200
KamilGrosicki,0,3,0,52,True,0.0,0.03641635924577714,0.18878528475761414,0,2,0,7,1150,1150,1180,1210
KamilMiazek,0,1,0,40,True,0.0,0.0,0.0,0,3,0,2,1150,1150,1180,1210
KarlanGrant,0,4,0,57,True,0.0,0.09966120715526973,0.008775674902340946,0,2,0,3,1170,1210,1190,1200
KarlanGrant,0,4,0,57,True,0.0,0.09966120715526973,0.008775674902340946,0,2,0,7,1150,1150,1180,1210
KarloZiger,0,1,0,40,True,0.0,0.0,0.0,0,4,0,13,1190,1190,1200,1180
KarloZiger,0,1,0,40,False,0.0,0.0,0.0,0,4,0,11,1150,1170,1210,1250
KarlDarlow,0,1,0,50,True,0.0,0.0,0.0,0,4,0,20,1140,1200,1110,1160
KasperSchmeichel,1,1,90,55,True,0.9,0.0,0.0,0,4,1,1,1170,1210,1190,1200
KasperSchmeichel,4,1,90,55,False,4.5,0.0,0.0,0,4,6,4,1170,1210,1190,1200
KayneRamsay,0,2,0,40,False,0.0,0.0,0.0,0,3,0,7,1150,1150,1180,1210
KeanBryan,-1,2,90,39,True,2.8,0.053549164161086085,0.07768627628684044,0,2,0,11,1150,1170,1210,1250
KeanBryan,6,2,90,39,True,1.4,0.053549164161086085,0.07768627628684044,1,2,0,2,1150,1150,1180,1210
KeinanDavis,0,4,0,43,False,0.0,0.035478481224605014,0.003657965255635126,0,3,0,10,1060,1110,1130,1160
KeinanDavis,1,4,9,43,False,0.4,0.035478481224605014,0.003657965255635126,0,3,0,15,1110,1130,1010,1050
KelechiIheanacho,2,4,90,56,True,3.8,0.3146939681028016,0.11414563248399645,0,4,0,1,1170,1210,1190,1200
KelechiIheanacho,9,4,66,56,False,7.9,0.3146939681028016,0.11414563248399645,0,4,0,4,1170,1210,1190,1200
KellandWatts,0,2,0,39,True,0.0,0.0,0.0,0,4,0,20,1140,1200,1110,1160
KennethZohore,0,4,0,48,True,0.0,0.0,0.0,0,2,0,3,1170,1210,1190,1200
