,actual_points,gameweek,name,points,pos,team_code,total_points_gw,type,value
90,0,16,AdemolaLookman,4.521328585096152,3.0,54,40.0,player,5.0
91,5,16,BenjaminChilwell,4.67711068767012,2.0,8,40.0,player,6.1
92,6,16,BrunoMiguelBorgesFernandes,7.929632177551537,3.0,1,40.0,player,11.0
93,0,16,DominicCalvertLewin,18.662504552612614,4.0,11,40.0,player,7.9
94,3,16,EmilianoMartínez,5.515431123836639,1.0,7,40.0,player,4.9
95,0,16,HarryKane,20.428019959962327,4.0,6,40.0,player,11.0
96,2,16,JackGrealish,8.507002974096475,3.0,7,40.0,player,7.8
97,1,16,JamieVardy,19.39476307033982,4.0,13,40.0,player,10.2
98,0,16,KurtZouma,4.518700508843423,2.0,8,40.0,player,5.8
99,3,16,PedroLombaNeto,4.57339156861264,3.0,39,40.0,player,5.9
100,0,16,TyroneMings,5.20520875279926,2.0,7,40.0,player,5.3
101,6,16,IllanMeslier,4.341367045149913,1.0,2,40.0,sub,4.6
102,8,16,JackHarrison,4.211169146508632,3.0,2,40.0,sub,5.4
103,6,16,LukeAyling,3.8606315029748033,2.0,2,40.0,sub,4.5
104,0,16,VladimirCoufal,3.841444784117909,2.0,21,40.0,sub,4.6
105,0,17,AdemolaLookman,4.583075998,3.0,54,57.0,player,5.0
106,10,17,BrunoMiguelBorgesFernandes,8.223634012,3.0,1,57.0,player,11.3
107,2,17,CallumWilson,12.66944938,4.0,4,57.0,player,6.6
108,12,17,HarryKane,19.96516564,4.0,6,57.0,player,11.0
109,13,17,HeungMinSon,6.040802225,3.0,6,57.0,player,9.8
110,0,17,JamesTarkowski,3.739431114,2.0,90,57.0,player,5.3
111,2,17,JoãoPedroCavacoCancelo,4.503930377,2.0,43,57.0,player,5.8
112,2,17,MarcusRashford,5.568256063,3.0,1,57.0,player,9.6
113,7,17,NealMaupay,11.80039219,4.0,36,57.0,player,6.1
114,0,17,NickPope,4.836583493,1.0,90,57.0,player,5.4
115,2,17,RúbenSantosGatoAlvesDias,4.331435902,2.0,43,57.0,player,5.8
116,0,17,AndréFrankZamboAnguissa,2.542939927,3.0,54,57.0,sub,4.5
117,0,17,AntoneeRobinson,3.023935287,2.0,54,57.0,sub,4.4
118,7,17,BerndLeno,3.734556705,1.0,3,57.0,sub,4.9
119,0,17,CharlieTaylor,3.190336592,2.0,90,57.0,sub,4.5
120,4,18,AdemolaLookman,4.500897669152142,3.0,54,23.0,player,5.0
121,2,18,BrunoMiguelBorgesFernandes,8.102047796056036,3.0,1,23.0,player,11.3
122,0,18,EmilianoMartínez,5.399854912118702,1.0,7,23.0,player,5.1
123,8,18,HarryKane,19.92110794923312,4.0,6,23.0,player,11.1
124,0,18,JackGrealish,7.9825676046943554,3.0,7,23.0,player,7.7
125,6,18,JoãoPedroCavacoCancelo,4.774796501799983,2.0,43,23.0,player,5.8
126,0,18,KyleWalkerPeters,4.157469613112685,2.0,20,23.0,player,4.8
127,0,18,MohamedSalah,7.435074103893077,3.0,14,23.0,player,12.5
128,0,18,OllieWatkins,16.516301108762402,4.0,7,23.0,player,6.1
129,0,18,PatrickBamford,16.093153842109587,4.0,2,23.0,player,6.6
130,0,18,StuartDallas,4.364772298818041,2.0,2,23.0,player,4.8
131,0,18,AlexMcCarthy,4.460293434115381,1.0,20,23.0,sub,4.7
132,3,18,BukayoSaka,4.246263234824924,3.0,3,23.0,sub,5.3
133,0,18,LukeAyling,4.063917194409411,2.0,2,23.0,sub,4.5
134,0,18,VladimirCoufal,3.6698888636985694,2.0,21,23.0,sub,4.7
135,3,19,BrunoMiguelBorgesFernandes,7.7967892927818685,3.0,1,50.0,player,11.3
136,0,19,DominicCalvertLewin,16.136050980842022,4.0,11,50.0,player,7.6
137,3,19,EmilianoMartínez,5.5372017782844045,1.0,7,50.0,player,5.1
138,9,19,HarryKane,20.268100596165198,4.0,6,50.0,player,11.2
139,2,19,JackGrealish,7.603080761975289,3.0,7,50.0,player,7.7
140,1,19,JoãoPedroCavacoCancelo,4.755915277014012,2.0,43,50.0,player,5.8
141,11,19,MasonMount,5.261662663147302,3.0,8,50.0,player,6.8
142,3,19,MohamedSalah,7.219446289697876,3.0,14,50.0,player,12.5
143,2,19,OllieWatkins,16.114225655104185,4.0,7,50.0,player,6.1
144,11,19,RúbenSantosGatoAlvesDias,4.957507882853415,2.0,43,50.0,player,5.9
145,2,19,StuartDallas,4.162748655951752,2.0,2,50.0,player,4.8
146,1,19,AdemolaLookman,4.535999980785512,3.0,54,50.0,sub,5.0
147,0,19,IllanMeslier,4.508271322766447,1.0,2,50.0,sub,4.7
148,1,19,KyleWalkerPeters,4.015975208735176,2.0,20,50.0,sub,4.8
149,1,19,LukeAyling,3.988969770691989,2.0,2,50.0,sub,4.5
150,9,2,AndrosTownsend,8.865088504135025,3.0,31,142.0,player,6.0
151,17,2,DominicCalvertLewin,11.770668128274195,4.0,11,142.0,player,7.2
152,13,2,EmilianoMartínez,8.993590403595732,1.0,7,142.0,player,4.5
153,15,2,EzriKonsaNgoyo,12.269630987040124,2.0,7,142.0,player,4.5
154,13,2,HarveyBarnes,9.129293576064764,3.0,13,142.0,player,7.0
155,13,2,KevinDeBruyne,13.591230916816798,3.0,43,142.0,player,11.6
156,1,2,LucasDigne,7.730309161941383,2.0,11,142.0,player,6.1
157,3,2,MohamedSalah,11.350685068364207,3.0,14,142.0,player,12.1
158,16,2,NealMaupay,7.731518339933635,4.0,36,142.0,player,6.5
159,9,2,TimothyCastagne,8.66045587229916,2.0,13,142.0,player,5.5
160,15,2,WilfriedZaha,8.418191593847352,3.0,31,142.0,player,7.1
161,12,2,AleksandarMitrović,6.203917478435264,4.0,54,142.0,sub,6.0
162,2,2,GabrielMagalhães,7.159504713135378,2.0,3,142.0,sub,5.1
163,1,2,RomainSaïss,7.115503240049452,2.0,39,142.0,sub,5.1
164,3,2,VicenteGuaita,6.995949249293313,1.0,31,142.0,sub,5.0
165,2,20,AndrewRobertson,4.816555259976617,2.0,14,48.0,player,7.4
166,2,20,BrunoMiguelBorgesFernandes,7.7237019096767074,3.0,1,48.0,player,11.4
167,2,20,DominicCalvertLewin,15.721892246585176,4.0,11,48.0,player,7.6
168,1,20,EmilianoMartínez,5.45960052083668,1.0,7,48.0,player,5.1
169,1,20,HarryKane,19.297775539018254,4.0,6,48.0,player,11.3
170,8,20,JackGrealish,7.7880163096966575,3.0,7,48.0,player,7.7
171,17,20,JoãoPedroCavacoCancelo,5.2055912387149,2.0,43,48.0,player,5.9
172,1,20,MasonMount,5.084419610220754,3.0,8,48.0,player,6.8
173,2,20,MohamedSalah,7.060902749861947,3.0,14,48.0,player,12.5
174,6,20,OllieWatkins,17.00477652924828,4.0,7,48.0,player,6.2
175,6,20,RúbenSantosGatoAlvesDias,5.035496852382603,2.0,43,48.0,player,5.9
